RV_YM|DW_MSICK_CD|SEX_TP_CD|CL_CD|SIDO|JID_cnt|HID_cnt|YID_cnt|AMT_sum|TOT_USE_QTY_OR_EXEC_FQ_sum
202005|AC168|2|31|31|1|1|1|13350|15
202005|AC252|2|11|36|2|2|2|26|13
202005|AC502|2|31|31|1|1|1|26700|30
202005|AC61|1|11|11|1|1|1|10941|7
202005|AC61|1|11|31|1|1|1|53280|60
202005|AC61|1|31|31|1|1|1|13320|15
202005|AD332|2|31|31|1|1|1|28480|32
202005|AE039|1|21|38|1|1|1|47580|30
202005|AE117|1|31|31|1|1|1|65640|60
202005|AE119|2|21|32|1|1|1|38310|30
202005|AE119|2|21|38|1|1|1|45270|30
202005|AE119|2|31|34|1|1|1|77640|60
202005|AF|1|11|34|2|2|2|141540|150
202005|AF|1|11|38|3|3|3|342336|302
202005|AF|1|11|39|1|1|1|62160|70
202005|AF|1|21|31|2|2|2|138330|90
202005|AF|1|21|35|1|1|1|16324|14
202005|AF|1|21|38|1|1|1|47580|30
202005|AF|1|31|11|1|1|1|44880|30
202005|AF|1|31|31|8|8|8|150025|149
202005|AF|1|31|33|1|1|1|45120|30
202005|AF|1|31|34|2|2|2|50180|40
202005|AF|1|31|37|1|1|1|44880|30
202005|AF|2|11|21|1|1|1|90360|60
202005|AF|2|11|31|1|1|1|7119|7
202005|AF|2|11|34|1|1|1|106560|120
202005|AF|2|11|37|1|1|1|90240|60
202005|AF|2|11|38|3|3|3|261360|165
202005|AF|2|21|32|3|3|3|94446|81
202005|AF|2|21|38|8|8|8|252003|167
202005|AF|2|31|22|5|5|5|170220|180
202005|AF|2|31|31|31|31|31|998183|932
202005|AF|2|31|33|1|1|1|45120|30
202005|AF|2|31|34|12|12|12|305251|249
202005|AF|2|31|37|1|1|1|45270|30
202005|AG|1|31|31|2|2|2|71202|44
202005|AG20|1|11|21|3|3|3|55940|73
202005|AG20|1|11|38|1|1|1|45180|30
202005|AG20|1|28|31|1|1|1|55980|60
202005|AG20|1|31|11|1|1|1|44880|30
